Orden de Venta,Creacion Orden de Venta,Codigo Cliente,Articulo,Cantidad,Unidad de venta,Segmento Cliente
ABC064773,2021-02-16,F6F39D95,IVP07218,810,KG,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP11038,600,L,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP07259,2160,KG,Subsidiarias
ABC064776,2021-02-16,F6F39D95,IVP11501,1500,L,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP07361,540,KG,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP11671,600,L,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP11565,600,L,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP15108,1200,KG,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP11672,600,L,Subsidiarias
ABC064774,2021-02-16,098188BE,IVP15093,120,KG,Automotriz
ABC064775,2021-02-16,E099D90D,IVP08056,90,KG,Metal Mecanica
ABC064776,2021-02-16,F6F39D95,IVP11347T,1500,L,Subsidiarias
ABC064776,2021-02-16,F6F39D95,IVP11262,1500,L,Subsidiarias
ABC064776,2021-02-16,F6F39D95,IVP11158T,3,L,Subsidiarias
ABC064776,2021-02-16,F6F39D95,IVP11253,1500,L,Subsidiarias
ABC064776,2021-02-16,F6F39D95,IVP11252,1500,L,Subsidiarias
ABC064773,2021-02-16,F6F39D95,IVP07114,540,KG,Subsidiarias
ABC064778,2021-02-16,F6F39D95,IVP07170,810,KG,Subsidiarias
ABC064778,2021-02-16,F6F39D95,IVP07309,810,KG,Subsidiarias
ABC064778,2021-02-16,F6F39D95,IVP08016,270,KG,Subsidiarias
ABC064778,2021-02-16,F6F39D95,IVP07201,540,KG,Subsidiarias
ABC064793,2021-02-16,578CFDCC,IVP15087,144,PZA,Automotriz
ABC064792,2021-02-16,17BF61E8,IVP11307,300,L,Polimeros
ABC064791,2021-02-16,12CFC727,IVP04043,1,PZA,Automotriz
ABC064790,2021-02-16,7506A90E,IVP07201,54,KG,Distribuidor
ABC064790,2021-02-16,7506A90E,IVP11269,57,L,Distribuidor
ABC064789,2021-02-16,5FC3EEB2,IVP01010,30,PZA,Genericos
ABC064788,2021-02-16,35250F34,IVP11252,3,L,Alimentos y farmaceutica
ABC064787,2021-02-16,35250F34,IVP11252,82,L,Alimentos y farmaceutica
ABC064787,2021-02-16,35250F34,IVP07314,27,KG,Alimentos y farmaceutica
ABC064781,2021-02-16,A760F354,IVP01014,45,PZA,Genericos
ABC064787,2021-02-16,35250F34,IVP07165,36,PZA,Alimentos y farmaceutica
ABC064778,2021-02-16,F6F39D95,IVP07131,600,KG,Subsidiarias
ABC064779,2021-02-16,D0B40618,IVP15513,1,L,Metal Mecanica
ABC064787,2021-02-16,35250F34,IVP04009,72,PZA,Alimentos y farmaceutica
ABC064782,2021-02-16,910A30AA,IVP11082,28,L,Alimentos y farmaceutica
ABC064783,2021-02-16,F20FB7C1,IVP11046,7,L,Genericos
ABC064780,2021-02-16,A760F354,IVP04039,4,PZA,Genericos
ABC064783,2021-02-16,F20FB7C1,IVP11046,7,L,Genericos
ABC064783,2021-02-16,F20FB7C1,IVP11046,7,L,Genericos
ABC064784,2021-02-16,B7F71C10,IVP04039,60,PZA,Genericos
ABC064785,2021-02-16,D3C21C74,IVP07306,54,KG,Aceros
ABC064786,2021-02-16,F6F39D95,IVP07534,3,KG,Subsidiarias
ABC064783,2021-02-16,F20FB7C1,IVP11046,7,L,Genericos
ABC064818,2021-02-17,78E7AA1B,IVP07077,18,PZA,Distribuidor
ABC064819,2021-02-17,78E7AA1B,IVP11298,300,L,Distribuidor
ABC064819,2021-02-17,78E7AA1B,IVP11387,600,L,Distribuidor
ABC064819,2021-02-17,78E7AA1B,IVP11160,1500,L,Distribuidor
ABC064818,2021-02-17,78E7AA1B,IVP08016,30,KG,Distribuidor
ABC064818,2021-02-17,78E7AA1B,IVP07130,27,KG,Distribuidor
ABC064817,2021-02-17,12558C43,IVP07410,810,KG,Aceros
ABC064816,2021-02-17,AE108937,IVP08058,12,KG,Metal Mecanica
ABC064817,2021-02-17,12558C43,IVP08007,90,KG,Aceros
ABC064817,2021-02-17,12558C43,IVP08007,90,KG,Aceros
ABC064814,2021-02-17,A760F354,IVP04039,1,PZA,Genericos
ABC064813,2021-02-17,A760F354,IVP04039,1,PZA,Genericos
ABC064812,2021-02-17,5D7BFE8C,IVP07412,81,KG,Alimentos y farmaceutica
ABC064811,2021-02-17,A760F354,IVP04039,3,PZA,Genericos
ABC064817,2021-02-17,12558C43,IVP07410,810,KG,Aceros
ABC064821,2021-02-17,0598F2F5,IVP11145,28,L,Ingenios
ABC064825,2021-02-17,A760F354,IVP04039,1,PZA,Genericos
ABC064822,2021-02-17,0598F2F5,IVP11145,28,L,Ingenios
ABC064833,2021-02-17,D642EF3F,IVP13011,405,L,Metal Mecanica
ABC064831,2021-02-17,A760F354,IVP04039,4,PZA,Genericos
ABC064830,2021-02-17,66E81584,IVP11252,142,L,Alimentos y farmaceutica
ABC064830,2021-02-17,66E81584,IVP07267,27,KG,Alimentos y farmaceutica
ABC064810,2021-02-17,A760F354,IVP04039,1,PZA,Genericos
ABC064821,2021-02-17,0598F2F5,IVP07224,1200,KG,Ingenios
ABC064830,2021-02-17,66E81584,IVP11117,28,L,Alimentos y farmaceutica
ABC064828,2021-02-17,FD778D94,IVP11162,600,L,Distribuidor
ABC064827,2021-02-17,98D5232B,IVP07435,81,KG,Polimeros
ABC064826,2021-02-17,339192DF,IVP07131,1200,KG,Distribuidor
ABC064824,2021-02-17,A4CA4EA5,IVP01013,1,L,Aceros
ABC064823,2021-02-17,0598F2F5,IVP07130,3,KG,Ingenios
ABC064823,2021-02-17,0598F2F5,IVP07131,1500,KG,Ingenios
ABC064828,2021-02-17,FD778D94,IVP11162,600,L,Distribuidor
ABC064809,2021-02-17,5693D56B,IVP11200,300,L,Aceros
ABC064820,2021-02-17,3B1E32AA,IVP08056,210,KG,Metal Mecanica
ABC064807,2021-02-17,728200A1,IVP11576,210,L,Alimentos y farmaceutica
ABC064796,2021-02-17,018C4FFA,IVP04022,18,PZA,Metal Mecanica
ABC064795,2021-02-17,EDD2371F,IVP09009,1080,KG,Metal Mecanica
ABC064795,2021-02-17,EDD2371F,IVP09023,300,L,Metal Mecanica
ABC064795,2021-02-17,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09009,1080,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09009,1080,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09023,300,L,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09009,1080,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09009,1080,KG,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09023,300,L,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09023,300,L,Metal Mecanica
ABC064794,2021-02-17,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC064808,2021-02-17,A575A5FB,IVP08016,72,KG,Ingenios
ABC064797,2021-02-17,5F5118BD,IVP15020,28,KG,Automotriz
ABC064797,2021-02-17,5F5118BD,IVP15020,28,KG,Automotriz
ABC064794,2021-02-17,EDD2371F,IVP09023,300,L,Metal Mecanica
ABC064797,2021-02-17,5F5118BD,IVP15020,28,KG,Automotriz
ABC064806,2021-02-17,EC5A61DE,IVP14005,60,KG,Automotriz
ABC064794,2021-02-17,EDD2371F,IVP09028,270,KG,Metal Mecanica
ABC064804,2021-02-17,90E8453B,IVP08045,18,KG,Distribuidor
ABC064804,2021-02-17,90E8453B,IVP07170,54,KG,Distribuidor
ABC064804,2021-02-17,90E8453B,IVP07265,27,KG,Distribuidor
ABC064804,2021-02-17,90E8453B,IVP07520,51,KG,Distribuidor
ABC064804,2021-02-17,90E8453B,IVP11159,142,L,Distribuidor
ABC064805,2021-02-17,BE84743C,IVP11541,300,L,Metal Mecanica
ABC064804,2021-02-17,90E8453B,IVP11047,85,L,Distribuidor
ABC064803,2021-02-17,4D8CDE44,IVP07446,135,KG,Distribuidor
ABC064802,2021-02-17,8C3140C7,IVP11081,228,L,Metal Mecanica
ABC064801,2021-02-17,DD02E65E,IVP04009,18,PZA,Polimeros
ABC064800,2021-02-17,9DEBDF85,IVP11290,57,L,Ceramica
ABC064799,2021-02-17,9DEBDF85,IVP07214,3,KG,Ceramica
ABC064798,2021-02-17,AE0CBF21,IVP04009,36,PZA,Alimentos y farmaceutica
ABC064797,2021-02-17,5F5118BD,IVP15020,28,KG,Automotriz
ABC064847,2021-02-18,FA648D23,IVP15196,60,L,Genericos
ABC064850,2021-02-18,6F846024,IVP04014,3,PZA,Alimentos y farmaceutica
ABC064851,2021-02-18,875B06ED,IVP09009,1080,KG,Metal Mecanica
ABC064853,2021-02-18,054FD593,IVP15060,600,KG,Automotriz
ABC064857,2021-02-18,526D1E4B,IVP11479,300,L,Metal Mecanica
ABC064860,2021-02-18,2C005B51,IVP04014,198,PZA,Distribuidor
ABC064859,2021-02-18,1D8A0CEF,IVP07165,27,KG,Alimentos y farmaceutica
ABC064860,2021-02-18,2C005B51,IVP04014,198,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP04015,108,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP04015,108,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP07214,18,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP07214,18,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP07309,18,PZA,Distribuidor
ABC064860,2021-02-18,2C005B51,IVP07309,18,PZA,Distribuidor
ABC064858,2021-02-18,461ECB36,IVP07499,540,KG,Aceros
ABC064844,2021-02-18,8C3140C7,IVP11169,300,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064842,2021-02-18,74A1EBD4,IVP07157,270,KG,Aceros
ABC064843,2021-02-18,A1C73FF5,IVP07035,135,KG,Aceros
ABC064834,2021-02-18,7506A90E,IVP07387,81,KG,Distribuidor
ABC064834,2021-02-18,7506A90E,IVP07201,27,KG,Distribuidor
ABC064835,2021-02-18,582E3E9C,IVP99023,4,PZA,Metal Mecanica
ABC064835,2021-02-18,582E3E9C,IVP99146,4,PZA,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064835,2021-02-18,582E3E9C,IVP99022,4,PZA,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064837,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064838,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064840,2021-02-18,5693D56B,IVP07159,270,KG,Aceros
ABC064836,2021-02-18,3FFF9BF3,IVP11519,1500,L,Metal Mecanica
ABC064841,2021-02-18,5693D56B,IVP07159,270,KG,Aceros
ABC064878,2021-02-19,E4AE17A8,IVP15042,300,KG,Polimeros
ABC064877,2021-02-19,A760F354,IVP01009,3,PZA,Genericos
ABC064876,2021-02-19,E4AE17A8,IVP15042,300,KG,Polimeros
ABC064875,2021-02-19,A760F354,IVP04039,4,PZA,Genericos
ABC064872,2021-02-19,E4AE17A8,IVP15042,300,KG,Polimeros
ABC064873,2021-02-19,E4AE17A8,IVP15042,300,KG,Polimeros
ABC064871,2021-02-19,3FFF9BF3,IVP11133,28,L,Metal Mecanica
ABC064871,2021-02-19,3FFF9BF3,IVP04009,18,PZA,Metal Mecanica
ABC064879,2021-02-19,E4AE17A8,IVP15042,300,KG,Polimeros
ABC064874,2021-02-19,A760F354,IVP04039,3,PZA,Genericos
ABC064880,2021-02-19,4D8CDE44,IVP07446,54,KG,Distribuidor
ABC064888,2021-02-19,D4C576EB,IVP08031,3,KG,Subsidiarias
ABC064884,2021-02-19,AAC34CAA,IVP15034,900,KG,Polimeros
ABC064885,2021-02-19,0095D67D,IVP11137,300,L,Metal Mecanica
ABC064885,2021-02-19,0095D67D,IVP11623,300,L,Metal Mecanica
ABC064885,2021-02-19,0095D67D,IVP07274,27,KG,Metal Mecanica
ABC064886,2021-02-19,A760F354,IVP04039,1,PZA,Genericos
ABC064888,2021-02-19,D4C576EB,IVP07137,3,KG,Subsidiarias
ABC064870,2021-02-19,50F9DA42,IVP11262,85,L,Distribuidor
ABC064888,2021-02-19,D4C576EB,IVP11559,3,L,Subsidiarias
ABC064889,2021-02-19,A760F354,IVP04039,9,PZA,Genericos
ABC064869,2021-02-19,12558C43,IVP07207,2430,KG,Aceros
ABC064861,2021-02-19,3A7E664A,IVP15123,600,KG,Automotriz
ABC064868,2021-02-19,12558C43,IVP09062,300,L,Aceros
ABC064862,2021-02-19,8E948DF7,IVP07165,81,KG,Distribuidor
ABC064862,2021-02-19,8E948DF7,IVP11162,28,L,Distribuidor
ABC064862,2021-02-19,8E948DF7,IVP11136,28,L,Distribuidor
ABC064862,2021-02-19,8E948DF7,IVP15087,18,PZA,Distribuidor
ABC064863,2021-02-19,CEDF8479,IVP15209,544,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,544,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,135,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,135,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,544,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,544,KG,Polimeros
ABC064863,2021-02-19,CEDF8479,IVP15209,135,KG,Polimeros
ABC064869,2021-02-19,12558C43,IVP07428,27,KG,Aceros
ABC064864,2021-02-19,78E7AA1B,IVP11274,228,L,Distribuidor
ABC064863,2021-02-19,CEDF8479,IVP15209,135,KG,Polimeros
ABC064867,2021-02-19,DD2BF499,IVP08003,4,KG,Metal Mecanica
ABC064866,2021-02-19,CAF07F07,IVP07130,54,KG,Alimentos y farmaceutica
ABC064865,2021-02-19,5E88DBFE,IVP15107,60,KG,Automotriz
ABC064866,2021-02-19,CAF07F07,IVP07387,54,KG,Alimentos y farmaceutica
ABC064864,2021-02-19,78E7AA1B,IVP11253,28,L,Distribuidor
ABC064864,2021-02-19,78E7AA1B,IVP11136,900,L,Distribuidor
ABC064864,2021-02-19,78E7AA1B,IVP11134,900,L,Distribuidor
ABC064893,2021-02-20,123E0641,IVP11141,300,L,Distribuidor
ABC064896,2021-02-20,B9B74BCE,IVP07309,36,PZA,Distribuidor
ABC064896,2021-02-20,B9B74BCE,IVP11419,85,L,Distribuidor
ABC064895,2021-02-20,B9B74BCE,IVP07331,270,KG,Distribuidor
ABC064894,2021-02-20,875B06ED,IVP09039,60,KG,Metal Mecanica
ABC064892,2021-02-20,BA62A6B7,IVP11586,2400,L,Distribuidor
ABC064896,2021-02-20,B9B74BCE,IVP11082,57,L,Distribuidor
ABC064892,2021-02-20,BA62A6B7,IVP11586,2400,L,Distribuidor
ABC064891,2021-02-20,D88189A2,IVP11346,810,KG,Distribuidor
ABC064891,2021-02-20,D88189A2,IVP11346,810,KG,Distribuidor
ABC064890,2021-02-20,D88189A2,IVP11346,810,KG,Distribuidor
ABC064890,2021-02-20,D88189A2,IVP11346,810,KG,Distribuidor
ABC064892,2021-02-20,BA62A6B7,IVP11586,2400,L,Distribuidor
ABC064908,2021-02-22,875B06ED,IVP09009,1620,KG,Metal Mecanica
ABC064909,2021-02-22,8C3140C7,IVP11081,228,L,Metal Mecanica
ABC064910,2021-02-22,B05F43D8,IVP11162,57,L,Alimentos y farmaceutica
ABC064911,2021-02-22,BA62A6B7,IVP04020,18,PZA,Distribuidor
ABC064911,2021-02-22,BA62A6B7,IVP07331,27,KG,Distribuidor
ABC064912,2021-02-22,BA62A6B7,IVP07436,2400,KG,Distribuidor
ABC064913,2021-02-22,B678967B,IVP04014,9,PZA,Genericos
ABC064913,2021-02-22,B678967B,IVP04009,9,PZA,Genericos
ABC064914,2021-02-22,613685E0,IVP07400,27,KG,Aceros
ABC064915,2021-02-22,7506A90E,IVP11277,1,L,Distribuidor
ABC064907,2021-02-22,D0C9A4EC,IVP11159,171,L,Alimentos y farmaceutica
ABC064916,2021-02-22,123E0641,IVP11430,3,L,Distribuidor
ABC064917,2021-02-22,394D49E5,IVP07225,162,KG,Alimentos y farmaceutica
ABC064918,2021-02-22,7506A90E,IVP11277,28,L,Distribuidor
ABC064918,2021-02-22,7506A90E,IVP11047,28,L,Distribuidor
ABC064919,2021-02-22,51CD51AF,IVP07452,1350,KG,Aceros
ABC064920,2021-02-22,51CD51AF,IVP07169,270,KG,Aceros
ABC064921,2021-02-22,D0B40618,IVP15196,1500,L,Metal Mecanica
ABC064922,2021-02-22,A760F354,IVP04039,4,PZA,Genericos
ABC064923,2021-02-22,6D376B5B,IVP09051,1,PZA,Aceros
ABC064915,2021-02-22,7506A90E,IVP11047,7,L,Distribuidor
ABC064916,2021-02-22,123E0641,IVP11299,3,L,Distribuidor
ABC064905,2021-02-22,D3F3041A,IVP11282,300,L,Minas
ABC064904,2021-02-22,A760F354,IVP04039,30,PZA,Genericos
ABC064924,2021-02-22,A760F354,IVP01010,30,PZA,Genericos
ABC064906,2021-02-22,A760F354,IVP04039,3,PZA,Genericos
ABC064897,2021-02-22,5F5118BD,IVP15020,28,KG,Automotriz
ABC064899,2021-02-22,A760F354,IVP04039,9,PZA,Genericos
ABC064900,2021-02-22,A760F354,IVP01010,3,PZA,Genericos
ABC064900,2021-02-22,A760F354,IVP04040,3,PZA,Genericos
ABC064898,2021-02-22,A760F354,IVP04039,1,PZA,Genericos
ABC064903,2021-02-22,A437DBF3,IVP04040,1,PZA,Genericos
ABC064903,2021-02-22,A437DBF3,IVP04042,1,PZA,Genericos
ABC064901,2021-02-22,A760F354,IVP04039,9,PZA,Genericos
ABC064947,2021-02-23,EF37BA4A,IVP04039,18,PZA,Genericos
ABC064949,2021-02-23,622E5F1D,IVP11083,85,L,Alimentos y farmaceutica
ABC064950,2021-02-23,413B722C,IVP07349,81,KG,Alimentos y farmaceutica
ABC064954,2021-02-23,3258D1F9,IVP11162,28,L,Alimentos y farmaceutica
ABC064952,2021-02-23,EC5A61DE,IVP14005,60,KG,Automotriz
ABC064953,2021-02-23,CAF07F07,IVP07489,0,KG,Alimentos y farmaceutica
ABC064953,2021-02-23,CAF07F07,IVP10002,1,PZA,Alimentos y farmaceutica
ABC064955,2021-02-23,A760F354,IVP04039,4,PZA,Genericos
ABC064956,2021-02-23,12CFC727,IVP15091,7,KG,Automotriz
ABC064951,2021-02-23,6B97EFF1,IVP11519,85,L,Metal Mecanica
ABC064933,2021-02-23,FC8EF6A5,IVP11189,600,L,Quimica y Petroquimica
ABC064945,2021-02-23,B678967B,IVP11503,6,L,Genericos
ABC064926,2021-02-23,BA62A6B7,IVP07131,600,KG,Distribuidor
ABC064927,2021-02-23,93AB2D93,IVP11115,300,L,Distribuidor
ABC064928,2021-02-23,F26E901B,IVP11576,60,L,Alimentos y farmaceutica
ABC064929,2021-02-23,A8FAB560,IVP04009,90,PZA,Distribuidor
ABC064931,2021-02-23,413B722C,IVP07349,54,KG,Alimentos y farmaceutica
ABC064929,2021-02-23,A8FAB560,IVP11275,28,L,Distribuidor
ABC064934,2021-02-23,5C8A288C,IVP11519,2400,L,Metal Mecanica
ABC064935,2021-02-23,5C8A288C,IVP11519,2400,L,Metal Mecanica
ABC064936,2021-02-23,5C8A288C,IVP11519,2400,L,Metal Mecanica
ABC064943,2021-02-23,A760F354,IVP04039,3,PZA,Genericos
ABC064944,2021-02-23,A760F354,IVP04039,9,PZA,Genericos
ABC064932,2021-02-23,D4C576EB,IVP07292,1080,KG,Subsidiarias
ABC064957,2021-02-24,D0B40618,IVP10009,9,KG,Metal Mecanica
ABC064958,2021-02-24,A319D1B7,IVP07482,18,KG,Aceros
ABC064959,2021-02-24,A319D1B7,IVP07082,54,KG,Aceros
ABC064960,2021-02-24,A319D1B7,IVP07406,300,KG,Aceros
ABC064961,2021-02-24,A319D1B7,IVP07072,270,KG,Aceros
ABC064962,2021-02-24,A319D1B7,IVP07119,270,KG,Aceros
ABC064965,2021-02-24,A319D1B7,IVP11144,3300,L,Aceros
ABC064963,2021-02-24,A319D1B7,IVP07082,108,KG,Aceros
ABC064991,2021-02-24,E0EA2123,IVP07338,270,KG,Aceros
ABC064992,2021-02-24,E0EA2123,IVP07294,270,KG,Aceros
ABC064993,2021-02-24,E0EA2123,IVP07083,27,KG,Aceros
ABC064994,2021-02-24,E0EA2123,IVP08007,30,KG,Aceros
ABC064994,2021-02-24,E0EA2123,IVP07083,27,KG,Aceros
ABC064995,2021-02-24,4F082266,IVP07294,270,KG,Aceros
ABC064996,2021-02-24,4F082266,IVP08003,30,KG,Aceros
ABC064997,2021-02-24,93AB2D93,IVP11491,85,L,Distribuidor
ABC064998,2021-02-24,93AB2D93,IVP11346,270,KG,Distribuidor
ABC064999,2021-02-24,A760F354,IVP04039,3,PZA,Genericos
ABC065000,2021-02-24,E38EE784,IVP07131,27,KG,Carton y Papel
ABC065001,2021-02-24,2C005B51,IVP07331,540,KG,Distribuidor
ABC065002,2021-02-24,78E7AA1B,IVP11158,627,L,Distribuidor
ABC065003,2021-02-24,78E7AA1B,IVP07322,108,KG,Distribuidor
ABC065004,2021-02-24,195F663F,IVP15107,150,KG,Polimeros
ABC065005,2021-02-24,CAF07F07,IVP07077,27,KG,Alimentos y farmaceutica
ABC065005,2021-02-24,CAF07F07,IVP11063,28,L,Alimentos y farmaceutica
ABC065005,2021-02-24,CAF07F07,IVP11137,28,L,Alimentos y farmaceutica
ABC065006,2021-02-24,CAF07F07,IVP11063,114,L,Alimentos y farmaceutica
ABC064980,2021-02-24,A760F354,IVP01009,1,PZA,Genericos
ABC064978,2021-02-24,A760F354,IVP04040,45,PZA,Genericos
ABC064990,2021-02-24,A2342DF3,IVP07203,270,KG,Aceros
ABC064989,2021-02-24,143BFBF4,IVP07119,54,KG,Aceros
ABC064987,2021-02-24,DB26C066,IVP07294,270,KG,Aceros
ABC064966,2021-02-24,A319D1B7,IVP07085,1350,KG,Aceros
ABC064966,2021-02-24,A319D1B7,IVP07130,60,KG,Aceros
ABC064967,2021-02-24,FC8EF6A5,IVP07051,27,KG,Quimica y Petroquimica
ABC064968,2021-02-24,12558C43,IVP11080,936,L,Aceros
ABC064969,2021-02-24,C8011B50,IVP07370,1350,KG,Ferrocarriles
ABC064970,2021-02-24,C8011B50,IVP07370,2430,KG,Ferrocarriles
ABC064971,2021-02-24,F4A714CE,IVP15114,600,KG,Automotriz
ABC064972,2021-02-24,BA62A6B7,IVP10018,1,KG,Distribuidor
ABC064973,2021-02-24,DBB33E7E,IVP10032,300,KG,Metal Mecanica
ABC064973,2021-02-24,DBB33E7E,IVP11479,600,L,Metal Mecanica
ABC064974,2021-02-24,B678967B,IVP15087,3,PZA,Genericos
ABC064974,2021-02-24,B678967B,IVP07076,6,PZA,Genericos
ABC064975,2021-02-24,71C9A747,IVP04022,6,PZA,Minas
ABC064975,2021-02-24,71C9A747,IVP07428,6,KG,Minas
ABC064977,2021-02-24,DBB33E7E,IVP10032,300,KG,Metal Mecanica
ABC064977,2021-02-24,DBB33E7E,IVP11479,600,L,Metal Mecanica
ABC064979,2021-02-24,DBB33E7E,IVP10032,300,KG,Metal Mecanica
ABC064979,2021-02-24,DBB33E7E,IVP11479,600,L,Metal Mecanica
ABC064981,2021-02-24,DBB33E7E,IVP10032,300,KG,Metal Mecanica
ABC064981,2021-02-24,DBB33E7E,IVP11479,600,L,Metal Mecanica
ABC064982,2021-02-24,EB2EE452,IVP07169,135,KG,Aceros
ABC064983,2021-02-24,EB2EE452,IVP07202,540,KG,Aceros
ABC064984,2021-02-24,DB26C066,IVP07338,540,KG,Aceros
ABC064985,2021-02-24,582E3E9C,IVP11530,300,L,Metal Mecanica
ABC064986,2021-02-24,79762A8C,IVP07309,27,KG,Quimica y Petroquimica
ABC064986,2021-02-24,79762A8C,IVP08045,60,KG,Quimica y Petroquimica
ABC064988,2021-02-24,DB26C066,IVP07338,270,KG,Aceros
ABC064965,2021-02-24,A319D1B7,IVP11032,171,L,Aceros
ABC064964,2021-02-24,A319D1B7,IVP07082,270,KG,Aceros
ABC065037,2021-02-25,F6F39D95,IVP07535,3,KG,Subsidiarias
ABC065026,2021-02-25,3D41483E,IVP11253,28,L,Alimentos y farmaceutica
ABC065026,2021-02-25,3D41483E,IVP11253,28,L,Alimentos y farmaceutica
ABC065027,2021-02-25,0EF67EE6,IVP11521,28,L,Genericos
ABC065029,2021-02-25,A760F354,IVP01010,10,PZA,Genericos
ABC065032,2021-02-25,149EF765,IVP01009,150,PZA,Genericos
ABC065034,2021-02-25,C6EB19BB,IVP07245,270,KG,Ferrocarriles
ABC065034,2021-02-25,C6EB19BB,IVP07245,270,KG,Ferrocarriles
ABC065034,2021-02-25,C6EB19BB,IVP07245,270,KG,Ferrocarriles
ABC065035,2021-02-25,B616E895,IVP04039,18,PZA,
ABC065036,2021-02-25,78E7AA1B,IVP08020,90,KG,Distribuidor
ABC065038,2021-02-25,F6F39D95,IVP11695,7,L,Subsidiarias
ABC065030,2021-02-25,A760F354,IVP01012,7,L,Genericos
ABC065030,2021-02-25,A760F354,IVP01012,0,L,Genericos
ABC065026,2021-02-25,3D41483E,IVP11277,28,L,Alimentos y farmaceutica
ABC065026,2021-02-25,3D41483E,IVP11277,28,L,Alimentos y farmaceutica
ABC065034,2021-02-25,C6EB19BB,IVP07245,270,KG,Ferrocarriles
ABC065026,2021-02-25,3D41483E,IVP11253,28,L,Alimentos y farmaceutica
ABC065007,2021-02-25,FD778D94,IVP07314,81,KG,Distribuidor
ABC065008,2021-02-25,622E5F1D,IVP07193,27,KG,Alimentos y farmaceutica
ABC065026,2021-02-25,3D41483E,IVP11253,28,L,Alimentos y farmaceutica
ABC065009,2021-02-25,A8FAB560,IVP11158,28,L,Distribuidor
ABC065009,2021-02-25,A8FAB560,IVP11253,28,L,Distribuidor
ABC065009,2021-02-25,A8FAB560,IVP07412,54,KG,Distribuidor
ABC065009,2021-02-25,A8FAB560,IVP11390,28,L,Distribuidor
ABC065010,2021-02-25,640B722A,IVP07225,135,KG,Polimeros
ABC065011,2021-02-25,D40A9990,IVP08016,90,KG,Ingenios
ABC065011,2021-02-25,D40A9990,IVP04009,18,PZA,Ingenios
ABC065012,2021-02-25,14828BE4,IVP11533,1500,L,Metal Mecanica
ABC065013,2021-02-25,93FC0BC6,IVP07452,270,KG,Minas
ABC065015,2021-02-25,5693D56B,IVP07159,270,KG,Aceros
ABC065033,2021-02-25,A760F354,IVP01007,45,L,Genericos
ABC065018,2021-02-25,E901F7E5,IVP11402,1,L,Automotriz
ABC065025,2021-02-25,9F546608,IVP07131,54,KG,Quimica y Petroquimica
ABC065017,2021-02-25,74A1EBD4,IVP07060,54,KG,Aceros
ABC065026,2021-02-25,3D41483E,IVP11277,28,L,Alimentos y farmaceutica
ABC065024,2021-02-25,EDD2371F,IVP09009,1350,KG,Metal Mecanica
ABC065024,2021-02-25,EDD2371F,IVP09028,540,KG,Metal Mecanica
